HechoVictimaID,ID_HECHO,FechaID,VictimaID,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,FECHA,AAAA,MM,DD,HORA,HH
1,2016-0001,1,1,CONDUCTOR,MASCULINO,19.0,2016-01-01,2016-01-01,2016,1,1,0 days 04:00:00,4
2,2016-0001,1,147,CONDUCTOR,MASCULINO,19.0,2017-02-26,2016-01-01,2016,1,1,0 days 04:00:00,4
3,2016-0001,1,190,CONDUCTOR,MASCULINO,19.0,2017-06-04,2016-01-01,2016,1,1,0 days 04:00:00,4
4,2016-0001,1,277,CONDUCTOR,MASCULINO,19.0,2018-01-14,2016-01-01,2016,1,1,0 days 04:00:00,4
5,2016-0002,2,2,CONDUCTOR,MASCULINO,70.0,2016-01-02,2016-01-02,2016,1,2,0 days 01:15:00,1
6,2016-0003,3,3,CONDUCTOR,MASCULINO,30.0,2016-01-03,2016-01-03,2016,1,3,0 days 07:00:00,7
7,2016-0003,3,6,CONDUCTOR,MASCULINO,30.0,2016-01-24,2016-01-03,2016,1,3,0 days 07:00:00,7
8,2016-0003,3,19,CONDUCTOR,MASCULINO,30.0,2016-03-04,2016-01-03,2016,1,3,0 days 07:00:00,7
9,2016-0003,3,41,CONDUCTOR,MASCULINO,30.0,2016-04-25,2016-01-03,2016,1,3,0 days 07:00:00,7
10,2016-0003,3,50,CONDUCTOR,MASCULINO,30.0,2016-05-23,2016-01-03,2016,1,3,0 days 07:00:00,7
11,2016-0003,3,55,CONDUCTOR,MASCULINO,30.0,,2016-01-03,2016,1,3,0 days 07:00:00,7
12,2016-0003,3,85,CONDUCTOR,MASCULINO,30.0,2016-09-02,2016-01-03,2016,1,3,0 days 07:00:00,7
13,2016-0003,3,136,CONDUCTOR,MASCULINO,30.0,2017-01-24,2016-01-03,2016,1,3,0 days 07:00:00,7
14,2016-0003,3,142,CONDUCTOR,MASCULINO,30.0,2017-02-09,2016-01-03,2016,1,3,0 days 07:00:00,7
15,2016-0003,3,261,CONDUCTOR,MASCULINO,30.0,2017-12-12,2016-01-03,2016,1,3,0 days 07:00:00,7
16,2016-0003,3,334,CONDUCTOR,MASCULINO,30.0,2018-06-25,2016-01-03,2016,1,3,0 days 07:00:00,7
17,2016-0003,3,356,CONDUCTOR,MASCULINO,30.0,2018-08-03,2016-01-03,2016,1,3,0 days 07:00:00,7
18,2016-0003,3,389,CONDUCTOR,MASCULINO,30.0,2018-11-08,2016-01-03,2016,1,3,0 days 07:00:00,7
19,2016-0003,3,476,CONDUCTOR,MASCULINO,30.0,2019-07-13,2016-01-03,2016,1,3,0 days 07:00:00,7
20,2016-0003,3,620,CONDUCTOR,MASCULINO,30.0,2021-02-21,2016-01-03,2016,1,3,0 days 07:00:00,7
21,2016-0003,3,684,CONDUCTOR,MASCULINO,30.0,2021-11-09,2016-01-03,2016,1,3,0 days 07:00:00,7
22,2016-0004,4,4,CONDUCTOR,MASCULINO,18.0,,2016-01-10,2016,1,10,0 days 00:00:00,0
23,2016-0004,4,8,CONDUCTOR,MASCULINO,18.0,2016-01-29,2016-01-10,2016,1,10,0 days 00:00:00,0
24,2016-0004,4,129,CONDUCTOR,MASCULINO,18.0,2017-01-02,2016-01-10,2016,1,10,0 days 00:00:00,0
25,2016-0004,4,518,CONDUCTOR,MASCULINO,18.0,2019-12-18,2016-01-10,2016,1,10,0 days 00:00:00,0
26,2016-0005,5,5,CONDUCTOR,MASCULINO,29.0,2016-02-01,2016-01-21,2016,1,21,0 days 05:20:00,5
