CaracteristicaAccidenteID,TIPO_DE_CALLE,CALLE,DIRECCION_NORMALIZADA,VICTIMA
1,AVENIDA,PIEDRA BUENA AV.,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",MOTO
2,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",AUTO
3,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 2034,MOTO
4,AVENIDA,LARRAZABAL AV.,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",MOTO
5,AVENIDA,SAN JUAN AV.,"SAN JUAN AV. y SAENZ PEÑA, LUIS, PRES.",MOTO
6,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y ESCALADA AV.,MOTO
7,CALLE,NOGOYA,"NOGOYA y GONZALEZ, JOAQUIN V.",MOTO
8,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CORRALES AV.",MOTO
9,AVENIDA,BELGRANO AV.,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",MOTO
10,AVENIDA,ENTRE RIOS AV.,ENTRE RIOS AV. 1366,PEATON
11,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.","SCALABRINI ORTIZ, RAUL AV. y VERA",PEATON
12,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",MOTO
13,AVENIDA,"ACOSTA, MARIANO","ACOSTA, MARIANO y JANER, ANA MARIA",PEATON
14,CALLE,"DE LA TORRE, LISANDRO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",PEATON
15,CALLE,SUIPACHA,SUIPACHA 156,PEATON
16,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y CURAPALIGUE,AUTO
17,AVENIDA,9 DE JULIO AV.,"9 DE JULIO AV. y ALSINA, ADOLFO",MOTO
18,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y 27 DE FEBRERO AV.",AUTO
19,CALLE,HOLMBERG,HOLMBERG y VEDIA,AUTO
20,AVENIDA,CURAPALIGUE AV.,"CURAPALIGUE AV. y DIAZ, AVELINO",AUTO
21,AVENIDA,VIAMONTE,VIAMONTE y 9 DE JULIO AV.,PEATON
22,AVENIDA,CABILDO AV.,CABILDO AV. y DEHEZA,PEATON
23,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",MOTO
24,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",PEATON
25,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y CALLAO AV.,MOTO
26,CALLE,HERRERA,"HERRERA y VALLE, ARISTOBULO DEL",MOTO
27,AVENIDA,LAFUENTE AV.,LAFUENTE AV. y QUIRNO,MOTO
28,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ZUVIRIA",PEATON
29,AVENIDA,"MITRE, BARTOLOME","MITRE, BARTOLOME y PUEYRREDON AV.",MOTO
30,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,MOTO
31,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.","DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",PEATON
32,AVENIDA,"MORENO, JOSE MARIA AV.","MORENO, JOSE MARIA AV. y BALBASTRO",MOTO
33,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",MOTO
34,CALLE,LIMA,LIMA 1483,PEATON
35,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y DORREGO AV.,PEATON
36,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,SD
37,AVENIDA,"GORDILLO, TIMOTEO","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",PEATON
