FechaID,FECHA,AAAA,MM,DD,HORA,HH
1,2016-01-01,2016,1,1,0 days 04:00:00,4
2,2016-01-02,2016,1,2,0 days 01:15:00,1
3,2016-01-03,2016,1,3,0 days 07:00:00,7
4,2016-01-10,2016,1,10,0 days 00:00:00,0
5,2016-01-21,2016,1,21,0 days 05:20:00,5
6,2016-01-24,2016,1,24,0 days 18:30:00,18
7,2016-01-24,2016,1,24,0 days 19:10:00,19
8,2016-01-29,2016,1,29,0 days 15:20:00,15
9,2016-02-08,2016,2,8,0 days 01:20:00,1
10,2016-02-10,2016,2,10,0 days 11:30:00,11
11,2016-02-14,2016,2,14,0 days 05:14:00,5
12,2016-02-14,2016,2,14,0 days 22:00:00,22
13,2016-02-15,2016,2,15,0 days 16:54:00,16
14,2016-02-17,2016,2,17,0 days 09:30:00,9
15,2016-02-17,2016,2,17,0 days 16:00:00,16
16,2016-02-17,2016,2,17,0 days 23:35:00,23
17,2016-02-21,2016,2,21,0 days 06:00:00,6
18,2016-02-28,2016,2,28,0 days 04:50:00,4
19,2016-02-28,2016,2,28,0 days 07:30:00,7
20,2016-02-28,2016,2,28,0 days 09:35:00,9
21,2016-03-02,2016,3,2,0 days 10:00:00,10
22,2016-03-04,2016,3,4,0 days 17:30:00,17
23,2016-03-08,2016,3,8,0 days 12:30:00,12
24,2016-03-12,2016,3,12,0 days 12:30:00,12
25,2016-03-13,2016,3,13,0 days 06:00:00,6
26,2016-03-14,2016,3,14,0 days 00:15:00,0
27,2016-03-19,2016,3,19,0 days 11:00:00,11
28,2016-03-21,2016,3,21,0 days 08:06:00,8
29,2016-03-23,2016,3,23,0 days 01:50:00,1
30,2016-03-29,2016,3,29,0 days 11:00:00,11
31,2016-03-30,2016,3,30,0 days 18:15:00,18
32,2016-03-31,2016,3,31,0 days 19:40:00,19
33,2016-04-11,2016,4,11,0 days 10:25:00,10
34,2016-04-15,2016,4,15,0 days 05:30:00,5
35,2016-04-15,2016,4,15,0 days 17:40:00,17
36,2016-04-17,2016,4,17,0 days 00:00:00,0
37,2016-04-19,2016,4,19,0 days 09:50:00,9
38,2016-04-20,2016,4,20,0 days 04:00:00,4
39,2016-04-20,2016,4,20,0 days 20:00:00,20
40,2016-04-22,2016,4,22,0 days 09:30:00,9
41,2016-04-23,2016,4,23,0 days 21:00:00,21
42,2016-04-25,2016,4,25,0 days 20:30:00,20
43,2016-04-26,2016,4,26,0 days 04:45:00,4
44,2016-05-04,2016,5,4,0 days 14:00:00,14
45,2016-05-08,2016,5,8,0 days 16:30:00,16
46,2016-05-14,2016,5,14,0 days 18:11:00,18
47,2016-05-20,2016,5,20,0 days 14:40:00,14
48,2016-05-21,2016,5,21,0 days 17:00:00,17
49,2016-05-22,2016,5,22,0 days 22:00:00,22
50,2016-05-23,2016,5,23,0 days 03:30:00,3
51,2016-06-11,2016,6,11,0 days 15:00:00,15
52,2016-06-12,2016,6,12,0 days 06:40:00,6
53,2016-06-12,2016,6,12,0 days 23:13:00,23
54,2016-06-13,2016,6,13,0 days 16:20:00,16
55,2016-06-13,2016,6,13,0 days 21:52:00,21
56,2016-06-13,2016,6,13,0 days 23:01:00,23
57,2016-06-16,2016,6,16,0 days 17:13:00,17
58,2016-06-18,2016,6,18,0 days 06:42:00,6
59,2016-06-22,2016,6,22,0 days 07:42:00,7
60,2016-06-27,2016,6,27,0 days 18:24:00,18
61,2016-06-28,2016,6,28,0 days 20:46:00,20
62,2016-06-29,2016,6,29,0 days 22:00:00,22
63,2016-06-30,2016,6,30,0 days 16:10:00,16
64,2016-07-02,2016,7,3,0 days 00:10:00,0
65,2016-07-11,2016,7,11,0 days 15:30:00,15
66,2016-07-14,2016,7,14,0 days 06:40:00,6
67,2016-07-14,2016,7,14,0 days 22:00:00,22
68,2016-07-15,2016,7,15,0 days 11:00:00,11
69,2016-07-17,2016,7,17,0 days 03:30:00,3
70,2016-07-23,2016,7,23,0 days 06:12:00,6
71,2016-07-25,2016,7,25,0 days 07:00:00,7
72,2016-07-26,2016,7,26,0 days 18:45:00,18
73,2016-07-27,2016,7,27,0 days 16:08:00,16
74,2016-07-29,2016,7,29,0 days 16:00:00,16
75,2016-08-03,2016,8,3,0 days 23:27:00,23
76,2016-08-07,2016,8,7,0 days 19:42:00,19
77,2016-08-10,2016,8,10,0 days 23:37:00,23
78,2016-08-14,2016,8,14,0 days 21:15:00,21
79,2016-08-17,2016,8,17,0 days 00:05:00,0
80,2016-08-19,2016,8,19,0 days 21:02:00,21
81,2016-08-20,2016,8,20,0 days 08:22:00,8
82,2016-08-24,2016,8,24,0 days 05:45:00,5
83,2016-08-24,2016,8,24,0 days 20:21:00,20
84,2016-08-25,2016,8,25,0 days 09:30:00,9
85,2016-08-27,2016,8,27,0 days 04:40:00,4
86,2016-08-27,2016,8,27,0 days 16:45:00,16
87,2016-08-31,2016,8,31,0 days 11:20:00,11
88,2016-09-02,2016,9,2,0 days 11:50:00,11
89,2016-09-02,2016,9,2,0 days 20:20:00,20
90,2016-09-03,2016,9,3,0 days 15:30:00,15
91,2016-09-04,2016,9,4,0 days 03:30:00,3
92,2016-09-04,2016,9,4,0 days 06:40:00,6
93,2016-09-13,2016,9,13,0 days 07:10:00,7
94,2016-09-14,2016,9,14,0 days 09:00:00,9
95,2016-09-16,2016,9,16,0 days 15:24:00,15
96,2016-09-17,2016,9,17,0 days 12:14:00,12
97,2016-09-18,2016,9,18,0 days 22:45:00,22
98,2016-09-24,2016,9,24,0 days 10:25:00,10
99,2016-10-02,2016,10,2,0 days 11:30:00,11
100,2016-10-04,2016,10,4,0 days 12:30:00,12
101,2016-10-09,2016,10,9,0 days 19:13:00,19
102,2016-10-10,2016,10,10,0 days 02:30:00,2
103,2016-10-14,2016,10,14,0 days 00:05:00,0
104,2016-10-23,2016,10,23,0 days 05:00:00,5
105,2016-10-24,2016,10,24,0 days 05:00:00,5
106,2016-10-25,2016,10,25,0 days 00:00:00,0
107,2016-10-25,2016,10,25,0 days 00:39:00,0
108,2016-10-27,2016,10,27,0 days 20:30:00,20
109,2016-10-28,2016,10,28,0 days 23:00:00,23
110,2016-10-31,2016,10,31,0 days 02:58:00,2
111,2016-11-05,2016,11,5,0 days 23:30:00,23
112,2016-11-06,2016,11,6,0 days 04:41:00,4
113,2016-11-07,2016,11,7,0 days 12:10:00,12
114,2016-11-07,2016,11,7,0 days 20:56:00,20
115,2016-11-09,2016,11,9,0 days 20:00:00,20
116,2016-11-16,2016,11,16,0 days 21:15:00,21
117,2016-11-16,2016,11,16,0 days 22:20:00,22
118,2016-11-18,2016,11,18,0 days 18:20:00,18
119,2016-11-23,2016,11,23,0 days 21:10:00,21
120,2016-11-25,2016,11,25,0 days 15:42:00,15
121,2016-11-26,2016,11,26,0 days 14:14:00,14
122,2016-11-26,2016,11,26,0 days 16:50:00,16
123,2016-11-26,2016,11,26,0 days 19:40:00,19
124,2016-12-03,2016,12,3,0 days 06:40:00,6
125,2016-12-04,2016,12,4,0 days 07:21:00,7
126,2016-12-06,2016,12,6,0 days 05:30:00,5
127,2016-12-06,2016,12,6,0 days 07:22:00,7
128,2016-12-07,2016,12,7,0 days 05:00:00,5
129,2016-12-10,2016,12,10,0 days 07:30:00,7
130,2016-12-11,2016,12,11,0 days 06:16:00,6
131,2016-12-12,2016,12,12,0 days 08:25:00,8
132,2016-12-13,2016,12,13,0 days 10:40:00,10
133,2016-12-15,2016,12,15,0 days 15:30:00,15
134,2016-12-19,2016,12,19,0 days 17:10:00,17
135,2016-12-25,2016,12,25,0 days 19:00:00,19
136,2016-12-26,2016,12,26,0 days 08:00:00,8
137,2016-12-26,2016,12,26,0 days 19:52:00,19
138,2016-12-27,2016,12,27,0 days 00:00:00,0
139,2016-12-27,2016,12,27,0 days 08:15:00,8
140,2016-12-28,2016,12,28,0 days 01:41:00,1
141,2016-12-29,2016,12,29,0 days 04:00:00,4
142,2016-12-30,2016,12,30,0 days 16:18:00,16
143,2017-01-02,2017,1,2,0 days 01:00:00,1
144,2017-01-05,2017,1,5,0 days 03:10:00,3
145,2017-01-11,2017,1,11,0 days 17:00:00,17
146,2017-01-16,2017,1,16,0 days 00:40:00,0
147,2017-01-16,2017,1,16,0 days 13:56:00,13
