VictimaID,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
1,CONDUCTOR,MASCULINO,19.0,2016-01-01
2,CONDUCTOR,MASCULINO,70.0,2016-01-02
3,CONDUCTOR,MASCULINO,30.0,2016-01-03
4,CONDUCTOR,MASCULINO,18.0,
5,CONDUCTOR,MASCULINO,29.0,2016-02-01
6,CONDUCTOR,MASCULINO,30.0,2016-01-24
7,PASAJERO_ACOMPAÑANTE,MASCULINO,29.0,2016-01-26
8,CONDUCTOR,MASCULINO,18.0,2016-01-29
9,CONDUCTOR,MASCULINO,22.0,2016-02-08
10,PEATON,MASCULINO,16.0,2016-02-10
11,PEATON,FEMENINO,16.0,2016-02-14
12,PASAJERO_ACOMPAÑANTE,FEMENINO,19.0,2016-02-14
13,PEATON,MASCULINO,59.0,2016-02-16
14,PEATON,FEMENINO,65.0,2016-02-17
15,PEATON,MASCULINO,59.0,2016-03-02
16,CONDUCTOR,MASCULINO,34.0,2016-02-17
17,PASAJERO_ACOMPAÑANTE,MASCULINO,41.0,
18,PASAJERO_ACOMPAÑANTE,MASCULINO,34.0,2016-02-28
19,CONDUCTOR,MASCULINO,30.0,2016-03-04
20,PASAJERO_ACOMPAÑANTE,MASCULINO,34.0,
21,PEATON,MASCULINO,50.0,2016-03-02
22,PEATON,MASCULINO,38.0,2016-03-04
23,CONDUCTOR,MASCULINO,21.0,
24,PEATON,MASCULINO,52.0,2016-03-12
25,CONDUCTOR,MASCULINO,34.0,2016-03-13
26,PASAJERO_ACOMPAÑANTE,MASCULINO,36.0,2016-03-14
27,CONDUCTOR,MASCULINO,20.0,2016-03-19
28,PEATON,MASCULINO,29.0,2016-03-21
29,CONDUCTOR,MASCULINO,20.0,2016-03-23
30,CONDUCTOR,MASCULINO,54.0,2016-03-29
31,PASAJERO_ACOMPAÑANTE,MASCULINO,,2016-03-30
32,PEATON,FEMENINO,56.0,2016-03-30
33,CONDUCTOR,MASCULINO,24.0,2016-03-31
34,CONDUCTOR,MASCULINO,,
35,PEATON,MASCULINO,41.0,2016-04-15
36,PEATON,FEMENINO,,
37,SD,SD,,
38,PEATON,MASCULINO,78.0,2016-04-19
39,CONDUCTOR,MASCULINO,36.0,2016-04-20
40,PEATON,MASCULINO,38.0,2016-04-22
41,CONDUCTOR,MASCULINO,30.0,2016-04-25
42,PEATON,MASCULINO,79.0,2016-04-28
43,CONDUCTOR,MASCULINO,26.0,2016-04-26
44,PEATON,FEMENINO,57.0,2016-05-08
45,PEATON,MASCULINO,37.0,2016-05-26
46,PEATON,MASCULINO,20.0,
47,PEATON,MASCULINO,20.0,2016-05-20
48,PASAJERO_ACOMPAÑANTE,FEMENINO,30.0,
49,CONDUCTOR,MASCULINO,58.0,
50,CONDUCTOR,MASCULINO,30.0,2016-05-23
51,CONDUCTOR,MASCULINO,23.0,
52,CONDUCTOR,MASCULINO,60.0,
53,PEATON,MASCULINO,42.0,2016-06-12
54,PEATON,FEMENINO,53.0,2016-06-13
55,CONDUCTOR,MASCULINO,30.0,
56,CONDUCTOR,FEMENINO,51.0,
57,CONDUCTOR,MASCULINO,40.0,
58,PEATON,MASCULINO,87.0,2016-07-05
59,PEATON,FEMENINO,76.0,2016-06-29
60,PEATON,MASCULINO,57.0,2016-07-08
61,SD,MASCULINO,,
62,PEATON,MASCULINO,75.0,2016-07-01
63,CONDUCTOR,MASCULINO,23.0,2016-07-03
64,PEATON,FEMENINO,70.0,2016-07-14
65,PEATON,MASCULINO,35.0,2016-07-14
66,PEATON,MASCULINO,60.0,2016-07-15
67,CONDUCTOR,MASCULINO,24.0,2016-07-15
68,CONDUCTOR,MASCULINO,35.0,2016-07-19
69,CONDUCTOR,MASCULINO,29.0,2016-07-23
70,PEATON,MASCULINO,80.0,2016-08-12
71,CONDUCTOR,FEMENINO,43.0,
72,CONDUCTOR,MASCULINO,45.0,
73,CONDUCTOR,MASCULINO,57.0,2016-08-03
74,SD,MASCULINO,67.0,
75,CONDUCTOR,MASCULINO,29.0,
76,CONDUCTOR,MASCULINO,21.0,2016-08-15
77,PEATON,MASCULINO,19.0,2016-08-26
78,PEATON,MASCULINO,38.0,
79,CONDUCTOR,FEMENINO,53.0,2016-08-24
80,PEATON,MASCULINO,57.0,
81,CONDUCTOR,MASCULINO,27.0,2016-08-25
82,CONDUCTOR,MASCULINO,24.0,2016-08-27
83,PEATON,FEMENINO,60.0,
84,CICLISTA,FEMENINO,55.0,2016-08-31
85,CONDUCTOR,MASCULINO,30.0,2016-09-02
86,CONDUCTOR,MASCULINO,43.0,
87,CONDUCTOR,MASCULINO,27.0,2016-09-04
88,PASAJERO_ACOMPAÑANTE,FEMENINO,,
89,CICLISTA,MASCULINO,49.0,2016-09-13
90,CONDUCTOR,FEMENINO,58.0,
91,PEATON,MASCULINO,67.0,
92,CONDUCTOR,MASCULINO,37.0,
93,PASAJERO_ACOMPAÑANTE,MASCULINO,60.0,
94,PEATON,MASCULINO,50.0,
95,PEATON,FEMENINO,81.0,2016-10-02
96,CONDUCTOR,MASCULINO,29.0,2016-10-04
97,PEATON,MASCULINO,35.0,
98,PASAJERO_ACOMPAÑANTE,MASCULINO,30.0,2016-10-10
99,CONDUCTOR,MASCULINO,41.0,2016-10-25
100,CONDUCTOR,MASCULINO,25.0,2016-10-23
101,PEATON,MASCULINO,29.0,2016-10-25
102,CONDUCTOR,SD,,
103,CICLISTA,FEMENINO,33.0,
104,PASAJERO_ACOMPAÑANTE,FEMENINO,35.0,
105,PASAJERO_ACOMPAÑANTE,MASCULINO,20.0,
106,CONDUCTOR,MASCULINO,46.0,2016-11-05
107,CONDUCTOR,MASCULINO,35.0,
108,PEATON,MASCULINO,83.0,
109,CONDUCTOR,MASCULINO,39.0,2016-11-07
110,PEATON,FEMENINO,29.0,
111,PASAJERO_ACOMPAÑANTE,MASCULINO,55.0,2016-11-16
112,PASAJERO_ACOMPAÑANTE,MASCULINO,41.0,2016-11-18
113,PEATON,SD,,
114,CONDUCTOR,MASCULINO,42.0,2016-11-24
