HechoVictimaID,ID_HECHO,FechaID,VictimaID
1,2016-0001,1,1
2,2016-0001,1,147
3,2016-0001,1,190
4,2016-0001,1,277
5,2016-0002,2,2
6,2016-0003,3,3
7,2016-0003,3,6
8,2016-0003,3,19
9,2016-0003,3,41
10,2016-0003,3,50
11,2016-0003,3,55
12,2016-0003,3,85
13,2016-0003,3,136
14,2016-0003,3,142
15,2016-0003,3,261
16,2016-0003,3,334
17,2016-0003,3,356
18,2016-0003,3,389
19,2016-0003,3,476
20,2016-0003,3,620
21,2016-0003,3,684
22,2016-0004,4,4
23,2016-0004,4,8
24,2016-0004,4,129
25,2016-0004,4,518
26,2016-0005,5,5
27,2016-0005,5,69
28,2016-0005,5,75
29,2016-0005,5,96
30,2016-0005,5,118
31,2016-0005,5,132
32,2016-0005,5,235
33,2016-0005,5,399
34,2016-0005,5,404
35,2016-0005,5,490
36,2016-0005,5,503
37,2016-0005,5,535
38,2016-0005,5,551
39,2016-0008,6,3
40,2016-0008,7,3
41,2016-0008,6,6
42,2016-0008,7,6
43,2016-0008,6,19
44,2016-0008,7,19
45,2016-0008,6,41
46,2016-0008,7,41
47,2016-0008,6,50
48,2016-0008,7,50
49,2016-0008,6,55
50,2016-0008,7,55
51,2016-0008,6,85
52,2016-0008,7,85
53,2016-0008,6,136
54,2016-0008,7,136
55,2016-0008,6,142
56,2016-0008,7,142
57,2016-0008,6,261
58,2016-0008,7,261
59,2016-0008,6,334
60,2016-0008,7,334
61,2016-0008,6,356
62,2016-0008,7,356
63,2016-0008,6,389
64,2016-0008,7,389
65,2016-0008,6,476
66,2016-0008,7,476
67,2016-0008,6,620
68,2016-0008,7,620
69,2016-0008,6,684
70,2016-0008,7,684
71,2016-0008,6,3
72,2016-0008,7,3
73,2016-0008,6,6
74,2016-0008,7,6
75,2016-0008,6,19
76,2016-0008,7,19
77,2016-0008,6,41
78,2016-0008,7,41
79,2016-0008,6,50
80,2016-0008,7,50
81,2016-0008,6,55
